Month,Acadia NP,Arches NP,Badlands NP,Big Bend NP,Biscayne NP,Black Canyon of the Gunnison NP,Bryce Canyon NP,Canyonlands NP,Capitol Reef NP,Carlsbad Caverns NP,Channel Islands NP,Congaree NP,Crater Lake NP,Cuyahoga Valley NP,Death Valley NP,Denali NP & PRES,Dry Tortugas NP,Everglades NP,Gates of the Arctic NP & PRES,Glacier Bay NP & PRES,Glacier NP,Grand Canyon NP,Grand Teton NP,Great Basin NP,Great Sand Dunes NP & PRES,Great Smoky Mountains NP,Guadalupe Mountains NP,Haleakala NP,Hawaii Volcanoes NP,Hot Springs NP,Isle Royale NP,Joshua Tree NP,Katmai NP & PRES,Kenai Fjords NP,Kings Canyon NP,Kobuk Valley NP,Lake Clark NP & PRES,Lassen Volcanic NP,Mammoth Cave NP,Mesa Verde NP,Mount Rainier NP,National Park of American Samoa,North Cascades NP,Olympic NP,Petrified Forest NP,Pinnacles NP,Redwood NP,Rocky Mountain NP,Saguaro NP,Sequoia NP,Shenandoah NP,Theodore Roosevelt NP,Virgin Islands NP,Voyageurs NP,Wind Cave NP,Wrangell-St. Elias NP & PRES,Yellowstone NP,Yosemite NP,Zion NP
01,31.4,43.1,37.9,61.2,74.6,35.4,36.8,42.3,40.5,56.4,63.8,55.4,34.4,34.4,66.9,11.1,73.6,75.9,-2.2,33.1,32.6,42.9,26.5,39.1,34.2,34.3,52.2,60.6,68.1,51.9,20.6,60.0,23.6,24.8,38.8,0.1,23.4,42.4,45.6,39.6,34.9,87.6,40.2,42.0,49.4,61.7,52.0,32.4,65.3,38.8,43.8,28.5,82.4,16.1,40.1,8.2,24.3,47.8,54.2
02,35.0,50.7,41.5,66.1,76.0,40.2,38.4,48.8,46.3,60.3,64.4,59.5,34.8,37.5,73.3,17.3,74.8,78.4,4.5,35.1,34.5,46.0,31.3,39.9,38.1,36.5,56.6,59.6,68.0,56.6,25.4,63.5,26.8,29.0,41.3,5.2,27.5,43.1,51.0,42.6,35.7,88.0,43.5,44.7,55.5,63.0,54.4,36.0,68.0,41.3,46.8,34.1,82.5,23.2,41.2,20.1,27.4,51.5,58.3
03,41.6,62.2,51.3,74.0,77.6,46.8,45.1,58.7,56.5,67.2,64.2,66.8,37.3,46.6,82.1,25.6,77.9,80.7,16.7,38.8,40.8,53.0,40.7,47.6,46.6,42.1,64.8,59.9,68.0,65.6,34.9,70.1,32.7,35.3,45.2,10.5,34.5,47.1,60.8,49.7,37.9,88.1,49.9,50.7,63.1,66.6,56.4,43.3,73.7,45.2,54.6,44.5,82.8,35.5,49.4,33.6,36.7,57.5,66.2
04,53.3,70.7,62.8,81.6,80.7,54.3,53.5,67.2,64.7,75.1,65.1,74.4,41.8,59.1,90.5,39.4,81.4,84.3,34.3,47.5,48.8,60.5,50.3,55.3,55.4,50.2,72.3,60.4,68.0,74.4,47.1,76.8,42.4,45.2,49.9,25.0,44.7,52.2,71.4,58.4,42.1,87.5,57.5,57.0,71.5,71.8,58.8,50.5,81.6,49.9,64.9,57.7,83.1,51.1,58.2,47.0,43.6,63.6,74.3
05,65.0,81.5,72.7,89.4,83.4,65.7,64.0,78.2,75.0,83.7,67.4,81.8,49.2,69.5,100.5,54.4,86.0,88.7,54.6,55.8,58.2,70.4,61.2,65.2,65.5,56.9,82.1,62.7,70.5,81.2,58.7,86.3,53.8,55.8,58.6,46.3,56.3,61.7,78.8,68.8,49.3,86.2,64.9,63.2,81.0,79.8,61.7,60.1,91.7,58.6,73.1,68.3,85.1,64.5,67.0,60.1,51.5,71.4,85.2
06,74.2,92.7,82.4,92.7,86.2,75.4,74.5,89.0,85.6,90.9,68.9,87.6,57.9,78.6,109.9,65.0,90.0,90.4,69.3,61.4,66.8,81.6,71.0,75.8,76.1,63.2,89.2,65.3,71.4,89.0,67.8,94.9,61.0,61.5,68.1,62.9,64.7,70.5,85.7,80.0,54.7,85.0,70.0,68.0,90.5,87.9,64.5,70.6,100.2,68.1,81.9,77.9,86.9,73.2,76.8,68.9,62.5,81.1,95.7
07,79.1,99.3,91.2,91.1,88.6,82.4,80.2,95.1,91.2,90.8,72.2,90.0,68.7,82.6,116.5,66.7,91.1,91.3,69.8,63.6,74.9,84.2,80.6,84.3,80.4,65.9,88.0,65.6,72.3,93.2,74.1,100.4,63.8,64.2,75.6,66.0,67.4,78.8,88.8,85.3,63.3,84.2,76.7,73.3,93.0,95.1,67.5,76.4,99.4,75.6,84.9,86.5,88.1,77.8,85.1,71.2,72.0,89.2,101.0
08,78.4,96.3,90.8,90.3,88.9,80.1,77.4,92.0,87.4,89.2,72.6,88.8,69.7,80.8,114.7,60.9,91.7,91.8,62.1,62.2,74.7,81.8,79.5,82.1,77.6,65.5,85.3,66.2,73.4,93.6,73.5,99.0,62.6,63.9,75.5,59.6,64.9,78.4,88.2,82.4,64.5,84.3,77.2,74.7,89.7,94.9,68.7,74.3,96.8,75.5,84.1,86.2,87.8,76.2,83.8,66.7,71.9,89.1,98.3
09,70.5,87.2,80.6,85.7,87.5,71.3,69.8,83.1,79.4,83.3,72.5,83.6,63.1,73.9,106.5,50.2,89.7,90.2,48.9,55.3,63.7,75.9,69.5,72.4,70.7,61.1,80.6,64.5,73.1,85.6,64.4,93.1,55.5,56.9,68.9,48.4,55.5,72.3,82.5,74.7,58.1,85.3,70.0,68.5,84.1,90.2,69.4,67.8,94.5,68.9,76.8,74.1,87.6,65.7,75.9,55.5,62.1,82.4,91.0
10,58.7,72.9,65.7,79.4,84.5,58.8,58.2,69.6,65.8,75.0,71.3,75.0,52.0,62.3,92.8,31.6,84.7,86.9,25.6,46.7,53.1,64.5,55.4,59.3,58.8,54.0,71.9,64.0,72.4,74.7,51.7,82.0,41.3,43.4,58.2,26.8,41.4,60.8,71.7,62.2,47.9,85.8,56.6,56.6,72.9,81.3,64.7,56.0,84.5,58.2,67.3,59.1,87.3,51.7,62.2,37.7,48.0,71.0,78.3
11,48.1,56.7,49.2,70.9,80.2,45.2,44.8,54.5,51.0,65.0,67.9,66.8,38.0,50.8,77.1,16.5,79.1,81.9,6.0,38.0,38.0,52.4,38.2,46.5,45.0,45.1,60.1,63.3,70.2,63.1,37.7,68.7,30.5,31.1,45.9,11.5,30.4,47.0,59.9,49.1,37.3,86.6,44.8,46.3,60.0,69.0,55.8,40.6,73.6,45.9,56.7,42.2,86.0,34.1,47.6,16.6,33.1,56.0,63.5
12,37.2,43.9,38.1,61.5,76.8,36.2,36.4,42.8,40.3,57.0,65.0,57.9,33.6,38.3,65.2,14.9,75.5,78.0,1.9,34.6,31.1,43.8,26.6,37.9,34.7,36.9,50.8,61.3,68.3,53.3,24.7,59.9,26.4,26.9,37.5,5.4,26.3,41.4,48.3,39.7,33.8,87.4,39.0,40.9,49.3,61.4,51.1,31.5,65.0,37.5,46.0,29.5,83.9,20.0,39.2,10.4,24.0,46.7,53.3
