Month,Acadia NP,Arches NP,Badlands NP,Big Bend NP,Biscayne NP,Black Canyon of the Gunnison NP,Bryce Canyon NP,Canyonlands NP,Capitol Reef NP,Carlsbad Caverns NP,Channel Islands NP,Congaree NP,Crater Lake NP,Cuyahoga Valley NP,Death Valley NP,Denali NP & PRES,Dry Tortugas NP,Everglades NP,Gates of the Arctic NP & PRES,Glacier Bay NP & PRES,Glacier NP,Grand Canyon NP,Grand Teton NP,Great Basin NP,Great Sand Dunes NP & PRES,Great Smoky Mountains NP,Guadalupe Mountains NP,Haleakala NP,Hawaii Volcanoes NP,Hot Springs NP,Isle Royale NP,Joshua Tree NP,Katmai NP & PRES,Kenai Fjords NP,Kings Canyon NP,Kobuk Valley NP,Lake Clark NP & PRES,Lassen Volcanic NP,Mammoth Cave NP,Mesa Verde NP,Mount Rainier NP,National Park of American Samoa,North Cascades NP,Olympic NP,Petrified Forest NP,Pinnacles NP,Redwood NP,Rocky Mountain NP,Saguaro NP,Sequoia NP,Shenandoah NP,Theodore Roosevelt NP,Virgin Islands NP,Voyageurs NP,Wind Cave NP,Wrangell-St. Elias NP & PRES,Yellowstone NP,Yosemite NP,Zion NP
01,13.7,21.4,15.6,29.7,61.7,10.6,15.4,17.5,19.4,34.9,46.0,33.5,18.4,21.7,40.0,-4.9,63.8,52.6,-17.9,24.8,12.8,12.4,0.9,19.0,9.4,17.3,31.3,43.4,49.4,31.9,-1.1,37.0,8.8,8.1,16.1,-17.2,7.6,21.4,28.3,19.5,22.5,77.3,32.4,32.9,20.7,27.0,36.8,4.3,40.1,16.1,21.8,3.4,70.3,-8.2,14.2,-9.1,1.1,28.6,30.3
02,17.2,27.9,17.9,34.8,63.7,12.8,16.7,23.4,24.7,37.9,46.7,36.5,17.8,23.6,46.3,-2.1,64.4,55.3,-14.5,25.4,13.6,16.4,3.6,20.8,14.0,19.0,34.6,42.3,49.1,35.4,1.7,38.9,10.9,10.4,17.5,-13.7,9.8,21.5,31.7,22.8,22.1,77.5,32.8,32.3,24.3,29.4,37.2,6.3,41.3,17.5,23.0,8.4,70.2,-2.8,15.7,-2.7,2.2,30.4,33.5
03,24.8,36.3,26.6,39.6,66.1,19.9,22.7,30.5,32.4,43.3,48.0,42.7,19.4,30.2,54.8,1.2,66.8,56.7,-8.0,27.4,19.4,20.6,14.0,26.2,22.4,23.4,39.8,42.9,50.2,42.8,12.5,42.5,15.6,16.2,21.5,-10.9,14.2,24.5,39.1,28.7,23.7,77.5,35.3,34.7,29.1,31.5,37.9,13.4,46.0,21.5,30.0,19.2,70.5,10.7,23.0,3.4,9.3,33.8,38.3
04,35.0,43.5,36.2,49.5,68.9,26.8,28.7,37.3,39.2,50.7,48.7,49.7,22.6,40.4,62.1,16.4,70.1,60.9,12.3,32.0,27.1,24.1,23.8,32.0,28.5,30.5,48.1,43.2,51.4,51.0,25.9,45.4,25.0,27.2,25.6,4.7,25.7,27.8,47.3,34.0,25.9,77.3,39.2,37.6,35.3,32.9,39.1,20.3,51.3,25.6,38.1,30.1,72.3,25.7,30.9,20.2,18.9,38.0,43.9
05,44.5,52.4,47.1,58.8,73.8,35.5,36.9,47.5,48.3,59.3,52.9,58.6,28.4,50.1,72.7,31.2,74.0,65.6,34.2,38.1,34.3,30.4,32.4,41.1,37.6,39.6,56.8,45.1,52.8,60.2,36.2,54.0,34.5,36.1,32.7,26.4,35.8,34.5,55.3,42.6,31.8,77.3,44.8,42.4,43.3,37.2,42.6,28.0,60.1,32.7,48.6,40.9,74.1,38.5,41.5,29.9,28.4,44.7,52.7
06,53.7,62.1,56.4,65.6,76.6,43.2,44.8,56.5,57.5,65.3,56.8,67.2,33.2,59.8,81.2,40.6,76.5,71.0,47.6,43.7,40.7,36.3,38.4,49.8,45.9,46.5,64.2,47.5,54.1,68.0,45.1,59.9,41.9,43.4,39.2,39.6,44.0,40.7,63.9,51.0,36.2,76.9,49.7,47.2,51.8,40.8,46.1,34.1,68.7,39.2,57.8,50.2,76.2,49.1,49.6,37.4,34.6,51.0,62.0
07,59.3,69.1,63.1,66.9,77.8,49.3,52.6,63.6,64.5,67.1,59.4,70.2,40.5,64.3,88.0,44.6,78.3,74.1,49.6,46.9,45.3,46.8,43.1,58.5,51.0,49.6,64.1,48.5,55.4,71.7,51.1,69.3,47.3,48.5,45.1,44.9,48.4,45.3,68.0,57.4,42.7,76.3,53.1,50.4,59.5,44.6,48.5,39.4,74.2,45.1,62.1,56.2,76.1,52.9,56.3,41.4,39.8,56.7,69.0
08,58.9,67.5,61.6,66.2,77.8,47.7,50.3,61.6,62.2,66.4,59.2,69.7,40.5,63.1,85.7,40.4,77.8,75.1,42.9,46.6,44.0,47.1,41.1,56.2,49.3,48.6,64.6,48.8,55.8,70.8,51.2,68.3,46.6,46.2,43.8,39.7,46.0,43.9,66.5,56.2,43.9,76.3,53.8,51.2,58.7,44.6,48.6,38.3,72.6,43.8,60.4,54.0,76.2,50.4,54.5,38.4,38.5,56.2,67.7
09,52.0,57.3,50.9,60.0,77.0,41.2,41.8,51.6,54.0,60.9,57.7,63.7,36.1,56.0,75.6,30.6,77.2,74.4,32.3,42.0,37.4,38.8,33.3,47.4,42.4,43.2,58.5,47.4,55.3,63.3,43.1,64.4,39.7,39.3,38.4,31.0,39.3,39.6,59.3,48.9,39.7,76.7,49.5,47.6,51.3,41.8,45.1,31.4,68.1,38.4,53.0,42.0,76.0,42.3,45.1,31.4,31.4,51.0,60.3
10,42.0,43.8,38.6,51.4,74.2,30.4,32.0,38.9,42.4,52.4,53.6,52.4,30.0,45.4,61.5,14.2,74.9,69.8,12.1,36.2,29.5,28.4,24.2,36.5,31.6,35.2,50.6,47.2,54.9,52.1,32.5,51.8,25.7,27.1,30.7,12.5,27.7,33.2,48.5,37.8,32.3,76.9,43.2,41.1,39.0,36.3,41.9,23.5,56.6,30.7,41.1,30.7,74.6,30.9,33.9,19.2,23.1,41.8,48.8
