ParkName,State,Acres
Acadia NP,Maine,49057
Arches NP,Utah,76679
Badlands NP,South Dakota,242756
Big Bend NP,Texas,801163
Biscayne NP,Florida,172971
Black Canyon of the Gunnison NP,Colorado,30750
Bryce Canyon NP,Utah,35835
Canyonlands NP,Utah,337598
Capitol Reef NP,Utah,241904
Carlsbad Caverns NP,New Mexico,46766
Channel Islands NP,California,249561
Congaree NP,South Carolina,26276
Crater Lake NP,Oregon,183224
Cuyahoga Valley NP,Ohio,32572
Death Valley NP,California,3373063
Denali NP & PRES,Alaska,4740911
Dry Tortugas NP,Florida,64701
Everglades NP,Florida,1400539
Gates of the Arctic NP & PRES,Alaska,7523897
Glacier Bay NP & PRES,Alaska,3223383
Glacier NP,Montana,1013129
Grand Canyon NP,Arizona,1201647
Grand Teton NP,Wyoming,310044
Great Basin NP,Nevada,77180
Great Sand Dunes NP & PRES,Colorado,107342
Great Smoky Mountains NP,Tennessee,522427
Guadalupe Mountains NP,Texas,86367
Haleakala NP,Hawaii,33265
Hawaii Volcanoes NP,Hawaii,323431
Hot Springs NP,Arkansas,5549
Isle Royale NP,Michigan,571790
Joshua Tree NP,California,790636
Katmai NP & PRES,Alaska,3674529
Kenai Fjords NP,Alaska,669650
Kings Canyon NP,California,461901
Kobuk Valley NP,Alaska,1750716
Lake Clark NP & PRES,Alaska,2619816
Lassen Volcanic NP,California,106589
Mammoth Cave NP,Kentucky,52830
Mesa Verde NP,Colorado,52485
Mount Rainier NP,Washington,236382
National Park of American Samoa,American Samoa,8257
North Cascades NP,Washington,504781
Olympic NP,Washington,922650
Petrified Forest NP,Arizona,221416
Pinnacles NP,California,26686
Redwood NP,California,138999
Rocky Mountain NP,Colorado,265795
Saguaro NP,Arizona,91716
Sequoia NP,California,404063
Shenandoah NP,Virginia,199195
Theodore Roosevelt NP,North Dakota,70447
Virgin Islands NP,U.S. Virgin Islands,14948
Voyageurs NP,Minnesota,218200
Wind Cave NP,South Dakota,33971
Wrangell-St. Elias NP & PRES,Alaska,8323146
Yellowstone NP,Wyoming,2219791
Yosemite NP,California,761748
Zion NP,Utah,147237
TotalVisits,,52094360
