Title,Bookmark
Annual Summary Report ,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Summary%20Report%20(1904%20-%20Last%20Calendar%20Year)

ParkName,Year,RecreationVisitors,NonRecreationVisitors,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,TotalRecreationVisitors,TotalNonRecreationVisitors,TotalRecreationHours,TotalNonRecreationHours,TotalConcessionerLodging,TotalConcessionerCamping,TotalTentCampers,TotalRVCampers,TotalBackcountry,TotalNonRecreationOvernightStays,TotalMiscellaneousOvernightStays
Acadia NP,1919,"64,000",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1920,"66,500",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1921,"69,836",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1922,"73,779",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1923,"64,200",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1924,"71,758",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1925,"73,673",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1926,"101,256",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1927,"123,699",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1928,"134,897",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1929,"149,554",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1930,"154,734",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1931,"162,238",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1932,"237,596",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1933,"262,712",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1934,"275,956",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1935,"316,114",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1936,"340,393",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1937,"383,036",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1938,"394,319",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1939,"396,468",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1940,"382,084",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
Acadia NP,1941,"409,961",,,,,,,,,,,"3,637,143,441","853,692,511","23,487,119,890","592,971,219","122,005,183","23,604,973","104,593,336","74,980,525","44,769,062","2,627,173","22,764,145"
