Year,Acadia NP,Arches NP,Badlands NP,Big Bend NP,Biscayne NP,Black Canyon of the Gunnison NP,Bryce Canyon NP,Canyonlands NP,Capitol Reef NP,Carlsbad Caverns NP,Channel Islands NP,Congaree NP,Crater Lake NP,Cuyahoga Valley NP,Death Valley NP,Denali NP & PRES,Dry Tortugas NP,Everglades NP,Gates of the Arctic NP & PRES,Glacier Bay NP & PRES,Glacier NP,Grand Canyon NP,Grand Teton NP,Great Basin NP,Great Sand Dunes NP & PRES,Great Smoky Mountains NP,Guadalupe Mountains NP,Haleakala NP,Hawaii Volcanoes NP,Hot Springs NP,Isle Royale NP,Joshua Tree NP,Katmai NP & PRES,Kenai Fjords NP,Kings Canyon NP,Kobuk Valley NP,Lake Clark NP & PRES,Lassen Volcanic NP,Mammoth Cave NP,Mesa Verde NP,Mount Rainier NP,National Park of American Samoa,North Cascades NP,Olympic NP,Petrified Forest NP,Pinnacles NP,Redwood NP,Rocky Mountain NP,Saguaro NP,Sequoia NP,Shenandoah NP,Theodore Roosevelt NP,Virgin Islands NP,Voyageurs NP,Wind Cave NP,Wrangell-St. Elias NP & PRES,Yellowstone NP,Yosemite NP,Zion NP,TotalVisits
1904.0,,,,,,,,,,,,,1500.0,,,,,,,,,,,,,,,,,101000.0,,,,,1000.0,,,,,,563.0,,,,,,,,,,,,,,2900.0,,13727.0,,,120690.0
1905.0,,,,,,,,,,,,,1400.0,,,,,,,,,,,,,,,,,109000.0,,,,,1000.0,,,,,,928.0,,,,,,,,,,,,,,2438.0,,26188.0,,,140954.0
1906.0,,,,,,,,,,,,,1800.0,,,,,,,,,,,,,,,,,,,,,,900.0,,,,,,1786.0,,,,,,,,,700.0,,,,,2787.0,,17182.0,5414.0,,30569.0
1907.0,,,,,,,,,,,,,2600.0,,,,,,,,,,,,,,,,,,,,,,1100.0,,,,,,2068.0,,,,,,,,,900.0,,,,,2751.0,,16414.0,7102.0,,32935.0
1908.0,,,,,,,,,,,,,5275.0,,,,,,,,,,,,,,,,,,,,,,1773.0,,,,,80.0,2826.0,,,,,,,,,1251.0,,,,,3171.0,,19542.0,8850.0,,42768.0
1909.0,,,,,,,,,,,,,4171.0,,,,,,,,,,,,,,,,,,,,,,798.0,,,,,165.0,5968.0,,,,,,,,,854.0,,,,,3216.0,,32545.0,13182.0,,60899.0
1910.0,,,,,,,,,,,,,5000.0,,,,,,,,,,,,,,,,,120000.0,,,,,1178.0,,,,,250.0,8000.0,,,,,,,,,2407.0,,,,,3387.0,,19575.0,13619.0,,173416.0
1911.0,,,,,,,,,,,,,4500.0,,,,,,,,4000.0,,,,,,,,,130000.0,,,,,2160.0,,,,,206.0,10306.0,,,,,,,,,3114.0,,,,,3887.0,,23054.0,12530.0,,193757.0
1912.0,,,,,,,,,,,,,5235.0,,,,,,,,6257.0,,,,,,,,,135000.0,,,,,2240.0,,,,,230.0,8946.0,,,,,,,,,2923.0,,,,,3199.0,,22970.0,10884.0,,197884.0
1913.0,,,,,,,,,,,,,6253.0,,,,,,,,12138.0,,,,,,,,,135000.0,,,,,2756.0,,,,,280.0,13501.0,,,,,,,,,3823.0,,,,,3988.0,,24929.0,13735.0,,216403.0
1914.0,,,,,,,,,,,,,7096.0,,,,,,,,14168.0,,,,,,,,,125000.0,,,,,3735.0,,,,,502.0,15038.0,,,,,,,,,4667.0,,,,,3592.0,,20250.0,15145.0,,209193.0
1915.0,,,,,,,,,,,,,11371.0,,,,,,,,14265.0,,,,,,,,,115000.0,,,,,10523.0,,,,,663.0,35166.0,,,,,,,31000.0,,7647.0,,,,,2817.0,,51895.0,33452.0,,313799.0
1916.0,,,,,,,,,,,,,12265.0,,,,,,,,12839.0,,,,,,,,,118740.0,,,,,15360.0,,,,,1385.0,23989.0,,,,,,,51000.0,,10780.0,,,,,9000.0,,35849.0,33390.0,,324597.0
1917.0,,,,,,,,,,,,,11645.0,,,,,,,,18387.0,,,,,,,,,135000.0,,,,,17390.0,,,8500.0,,2223.0,35568.0,,,,,,,117186.0,,18510.0,,,,,16742.0,,35400.0,34510.0,,451061.0
1918.0,,,,,,,,,,,,,13231.0,,,,,,,,9086.0,,,,,,,,,140000.0,,,,,15496.0,,,2000.0,,2058.0,43901.0,,,,,,,101497.0,,15001.0,,,,,36000.0,,21275.0,33527.0,,433072.0
1919.0,64000.0,,,,,,,,,,,,16645.0,,,,,,,,18956.0,37745.0,,,,,,,,160490.0,,,,,21574.0,,,2500.0,,2287.0,55232.0,,,,3000.0,,,169492.0,,30443.0,,,,,25000.0,,62261.0,58362.0,1814.0,729801.0
1920.0,66500.0,,,,,,,,,,,,20135.0,,,,,,,,22449.0,67315.0,,,,,,,,162850.0,,,,,19661.0,,,2000.0,,2890.0,56491.0,,,,30390.0,,,240966.0,5000.0,31508.0,,,,,38000.0,,79777.0,68906.0,3692.0,918530.0
1921.0,69836.0,,,,,,,,,,,,28617.0,,,,,,,,19736.0,67485.0,,,,,,,16071.0,130968.0,,,,,30312.0,,,10000.0,,3003.0,55771.0,,,,32700.0,,,273737.0,3000.0,28263.0,,,,,28336.0,,81651.0,91513.0,2937.0,973936.0
1922.0,73779.0,,,,,,,,,,,,33016.0,,,7.0,,,,,23935.0,84700.0,,,,,,,27750.0,106164.0,,,,,50456.0,,,10000.0,,4251.0,70371.0,,,,31338.0,,,219164.0,8000.0,27514.0,,,,,31016.0,,98223.0,100506.0,4109.0,1004299.0
1923.0,64200.0,,,,,,,,,,,,52017.0,,,34.0,,,,,33988.0,102166.0,,,,,,,41150.0,112000.0,,,15.0,,46230.0,,,9500.0,,5236.0,123708.0,,,,45475.0,6500.0,,218000.0,6000.0,30158.0,,,,,41505.0,,138352.0,130046.0,6408.0,1212688.0
1924.0,71758.0,,,,,,,,,1280.0,,,64312.0,,,62.0,,,,,33372.0,108256.0,,,,,,,52110.0,164175.0,,,17.0,,35020.0,,,12500.0,,7109.0,161473.0,,,,42781.0,8973.0,,224211.0,10000.0,34468.0,,,,,52166.0,,144158.0,105894.0,8400.0,1342495.0
1925.0,73673.0,,,,,,,,,1794.0,,,65018.0,,,206.0,,,,,40063.0,134053.0,,,,,,,64155.0,265500.0,,,,,40517.0,,,12596.0,,9043.0,173004.0,,,,55227.0,10000.0,,233912.0,30000.0,46677.0,,,,,69267.0,,154282.0,209166.0,16817.0,1704970.0
1926.0,101256.0,,,,,,,,,10904.0,,,86019.0,,,533.0,,,,,37325.0,140252.0,,,,,,,35000.0,260000.0,,,,,50597.0,,,18739.0,,11356.0,161796.0,,,,53345.0,10167.0,,225027.0,53000.0,89404.0,,,,,85466.0,,187807.0,274209.0,21964.0,1914166.0
1927.0,123699.0,,,,,,,,,26436.0,,,82354.0,,,651.0,,,,,41745.0,162356.0,,,,,,,37551.0,181523.0,,,,,47996.0,,,20089.0,,11915.0,200051.0,,,,61761.0,11265.0,,229862.0,60540.0,100684.0,,,,,81023.0,,200825.0,490430.0,24303.0,2197059.0
1928.0,134897.0,,,,,,,,,46335.0,,,113323.0,,,802.0,,,,,53454.0,167226.0,,,,,,,78414.0,199099.0,,,,,51988.0,,,26057.0,,16760.0,219531.0,,,,75225.0,13216.0,,235057.0,66450.0,98035.0,,,,,100309.0,,230984.0,460619.0,30016.0,2417797.0
1929.0,149554.0,500.0,,,,,21997.0,,,76822.0,,,128435.0,,,1038.0,,,,,70742.0,184093.0,51500.0,,,,,,109857.0,184517.0,,,,,44783.0,,,26106.0,,14517.0,217783.0,,,,69350.0,10756.0,,274408.0,87600.0,111385.0,,,,,108943.0,,260697.0,461257.0,33383.0,2700023.0
1930.0,154734.0,400.0,,,,,35982.0,,,90104.0,,,157693.0,,,951.0,,,,,73776.0,172763.0,60000.0,,,,,,89578.0,167062.0,,,,,43547.0,,,31755.0,,16656.0,265620.0,,,,105433.0,11862.0,,255874.0,50000.0,129221.0,,,,,88000.0,,227901.0,458566.0,55297.0,2742775.0
1931.0,162238.0,405.0,,,,,41572.0,,,81275.0,,,170284.0,,,771.0,,,,,63497.0,156964.0,62000.0,,,154000.0,,,124932.0,153394.0,,,,,51995.0,,,56833.0,,18003.0,293562.0,,,,93980.0,12813.0,,265663.0,,143573.0,,,,,85000.0,,221248.0,461855.0,59186.0,2935043.0
1932.0,237596.0,480.0,,,,,34143.0,,,61474.0,,,109738.0,,,357.0,,,,,53202.0,121267.0,40000.0,,500.0,300000.0,,,139663.0,201762.0,,,,,40806.0,,,41723.0,,15760.0,216065.0,,,,84228.0,14238.0,,282980.0,,131398.0,,,,,12539.0,,157624.0,498289.0,51650.0,2847482.0
1933.0,262712.0,425.0,,,,,32878.0,,,53768.0,,,90512.0,,9970.0,386.0,,,,,76715.0,105475.0,42500.0,,550.0,375000.0,,,237690.0,151638.0,,,,,50081.0,,,45577.0,,16185.0,170104.0,,,,224613.0,9957.0,,291934.0,,126464.0,,,,,10460.0,,161938.0,296088.0,48763.0,2892383.0
1934.0,275956.0,275.0,,,,2592.0,51188.0,,,88349.0,,,118699.0,,19678.0,628.0,,,,,116965.0,140220.0,75000.0,1968.0,,420000.0,,,240997.0,205565.0,,,,,66024.0,,,51906.0,,21474.0,242757.0,,,,222666.0,20129.0,,365392.0,2500.0,147533.0,,,,,15205.0,,260775.0,309431.0,68801.0,3552673.0
1935.0,316114.0,300.0,,,,1596.0,63703.0,,,113753.0,,,107701.0,,42061.0,877.0,,,,,143240.0,206018.0,100000.0,2977.0,3000.0,500000.0,,,207208.0,247387.0,,,,,116739.0,,,52294.0,,21835.0,239309.0,,,2200.0,69362.0,17872.0,,367568.0,9900.0,205783.0,,,,,20207.0,,317998.0,372317.0,97280.0,3966599.0
1936.0,340393.0,400.0,,,,4833.0,88848.0,,,148129.0,,,180382.0,,40815.0,1073.0,,,,,210072.0,268412.0,125000.0,2348.0,3150.0,602222.0,,,186049.0,273083.0,,,,,148568.0,,,76971.0,57775.0,25571.0,317345.0,,,24600.0,161194.0,18614.0,,550496.0,15000.0,230714.0,694098.0,,,,16605.0,,432570.0,431192.0,124393.0,5800915.0
1937.0,383036.0,1000.0,,,,9770.0,94331.0,,,201333.0,,,202403.0,,48874.0,1378.0,706.0,,,,194522.0,297876.0,135000.0,2856.0,3497.0,727243.0,,,203165.0,185935.0,,,,,157810.0,,,86757.0,75434.0,28171.0,349289.0,,,23520.0,124365.0,22426.0,,651899.0,20000.0,243661.0,1041204.0,,,,19075.0,,499242.0,481492.0,137404.0,6654674.0
1938.0,394319.0,1448.0,,,,15151.0,101851.0,,1500.0,205765.0,,,190699.0,,58320.0,1487.0,1130.0,,,,153528.0,336557.0,153353.0,3455.0,11050.0,694634.0,,,195986.0,121909.0,,,,,148116.0,,,73005.0,120692.0,30911.0,381876.0,,,75310.0,212547.0,22266.0,,659802.0,20422.0,260139.0,954967.0,,,,19132.0,,466185.0,443325.0,149075.0,6679912.0
1939.0,396468.0,1775.0,205100.0,,,16041.0,101500.0,,1500.0,212348.0,,,225101.0,,61301.0,2262.0,1500.0,,,,170073.0,395940.0,87133.0,3958.0,11700.0,761567.0,,,226741.0,178755.0,,,,,161080.0,,,100880.0,116516.0,32246.0,361787.0,,,42125.0,189421.0,24717.0,,609029.0,18000.0,275329.0,911612.0,,,,16202.0,,486936.0,466552.0,158063.0,7031258.0
1940.0,382084.0,2512.0,181993.0,,,19307.0,103362.0,,2000.0,236653.0,,,252482.0,,80842.0,1201.0,1141.0,,,,177307.0,371613.0,103324.0,4943.0,8419.0,860960.0,,,287810.0,182583.0,2962.0,,,,201545.0,,,104619.0,117751.0,36448.0,456637.0,,,91863.0,199420.0,25068.0,,627847.0,16892.0,282198.0,950807.0,,,,18028.0,,526437.0,506781.0,165029.0,7590868.0
1941.0,409961.0,3737.0,252248.0,,,18800.0,124563.0,,1975.0,285418.0,,,274002.0,,100829.0,1688.0,757.0,,,,178449.0,436566.0,125489.0,4864.0,11684.0,1310101.0,,,271824.0,208107.0,7257.0,31285.0,,,173587.0,,,109272.0,165996.0,42406.0,476776.0,,,92667.0,245640.0,27131.0,,681845.0,15506.0,302530.0,1071199.0,0.0,,,21095.0,,579696.0,597863.0,192805.0,8855618.0
1942.0,36544.0,1205.0,86256.0,,,6264.0,30019.0,,0.0,124809.0,,,88568.0,,44755.0,5.0,0.0,,,,62196.0,132584.0,33808.0,1673.0,3419.0,728706.0,,,337926.0,166661.0,6128.0,23691.0,,,97745.0,,,48144.0,87157.0,13045.0,343575.0,,,72349.0,73029.0,10311.0,,383670.0,7855.0,154880.0,138098.0,0.0,,,10650.0,,185746.0,319816.0,68797.0,3930084.0
1943.0,8246.0,776.0,10149.0,,,2087.0,7690.0,,0.0,89128.0,,,28850.0,,14374.0,12.0,0.0,,,,23908.0,71650.0,8203.0,1028.0,3007.0,383116.0,,,394140.0,195842.0,5376.0,17414.0,,,60651.0,,,18971.0,44611.0,4621.0,124474.0,,,56681.0,34791.0,4570.0,,124353.0,4988.0,62780.0,41831.0,0.0,,,2989.0,,61696.0,116682.0,44089.0,2073774.0
1944.0,12916.0,642.0,10349.0,1409.0,,2351.0,10311.0,,0.0,122467.0,,,44389.0,,13661.0,0.0,0.0,,,,35857.0,64568.0,19978.0,872.0,3466.0,534586.0,,,402475.0,254834.0,3751.0,7640.0,,,35203.0,,,19060.0,49389.0,5561.0,135277.0,,,56076.0,40729.0,3845.0,,211953.0,5129.0,54600.0,137831.0,0.0,,,3784.0,,86593.0,120494.0,42243.0,2554289.0
1945.0,20200.0,682.0,31377.0,3205.0,,4968.0,33463.0,,0.0,193237.0,,,79535.0,,31112.0,19.0,2154.0,,,,67942.0,169960.0,41349.0,1318.0,6403.0,750690.0,,,368629.0,278626.0,6139.0,18275.0,,,82442.0,,,45225.0,70513.0,12994.0,304227.0,,,106740.0,100694.0,7494.0,,356793.0,6395.0,137875.0,542718.0,0.0,,,10298.0,,189264.0,290569.0,78280.0,4451804.0
1946.0,382390.0,2301.0,230403.0,10037.0,,17573.0,125828.0,,0.0,380465.0,,,208640.0,,100976.0,1134.0,8787.0,,,,200547.0,486834.0,136441.0,3546.0,8777.0,1157930.0,,,405755.0,288275.0,7068.0,36605.0,,,221990.0,,,99067.0,162877.0,39843.0,470903.0,,,123698.0,286507.0,16298.0,,804588.0,16811.0,315365.0,709789.0,0.0,,,84800.0,,807917.0,640483.0,212280.0,9213528.0
1947.0,434069.0,5028.0,339843.0,28652.0,,22510.0,163172.0,,0.0,405266.0,,,378000.0,,161953.0,3466.0,6685.0,,,,327300.0,622363.0,142975.0,4751.0,16016.0,1204017.0,,,382482.0,300820.0,7867.0,57801.0,,,236687.0,,,149848.0,185111.0,52975.0,519698.0,,,180617.0,341599.0,18328.0,,923065.0,16610.0,373892.0,858630.0,0.0,,,102227.0,,937776.0,777622.0,273953.0,10963674.0
1948.0,420846.0,8870.0,384133.0,45670.0,,26679.0,175975.0,,,435481.0,,,313580.0,,162150.0,4512.0,5968.0,7482.0,,,284549.0,618033.0,153054.0,6103.0,16478.0,1469749.0,,,387753.0,304021.0,7922.0,59157.0,,,279231.0,,,160707.0,180621.0,59362.0,570053.0,,,191578.0,343160.0,20331.0,,1023262.0,20468.0,403968.0,932068.0,26773.0,,,108331.0,,1018279.0,745899.0,297571.0,11679827.0
1949.0,438584.0,13270.0,373076.0,62150.0,,29739.0,192552.0,,,431187.0,,,330829.0,,208557.0,4831.0,7355.0,94927.0,,,964416.0,600690.0,166506.0,8464.0,23082.0,1539641.0,,,350504.0,314949.0,9518.0,66991.0,,,294021.0,,,172496.0,211792.0,78024.0,584004.0,,,414787.0,341961.0,24557.0,,1148216.0,23665.0,367627.0,1157946.0,82810.0,,,118268.0,,1131159.0,808372.0,307881.0,13499404.0
1950.0,485220.0,16257.0,447654.0,70325.0,,26487.0,212976.0,,3066.0,467283.0,,,310796.0,,189045.0,6672.0,7025.0,123405.0,,,482298.0,665039.0,189286.0,8350.0,19004.0,1843620.0,,,362245.0,294955.0,3100.0,79129.0,,,337840.0,,,183815.0,254187.0,88184.0,573685.0,,,404125.0,352889.0,24814.0,,1275160.0,36220.0,379218.0,1279387.0,71447.0,,,79344.0,,1110524.0,820953.0,323402.0,13908431.0
1951.0,518556.0,18603.0,607965.0,84051.0,,31448.0,224801.0,,13192.0,493618.0,,,289286.0,,219520.0,7807.0,5405.0,142971.0,,,496142.0,682152.0,637785.0,8038.0,16759.0,1945100.0,,,498023.0,307426.0,2370.0,93615.0,,,450031.0,,,203609.0,364213.0,99309.0,873877.0,,,414916.0,335608.0,27090.0,,1167093.0,40637.0,452538.0,1412499.0,81590.0,,,130337.0,,1163894.0,858405.0,331079.0,15751358.0
