,ParkName,Year,RecreationVisitors,NonRecreationVisitors,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,RecreationVisits
0,Acadia NP,1919.0,64000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64000.0
1,Acadia NP,1920.0,66500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66500.0
2,Acadia NP,1921.0,69836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69836.0
3,Acadia NP,1922.0,73779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73779.0
4,Acadia NP,1923.0,64200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64200.0
5,Acadia NP,1924.0,71758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71758.0
6,Acadia NP,1925.0,73673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73673.0
7,Acadia NP,1926.0,101256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101256.0
8,Acadia NP,1927.0,123699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123699.0
9,Acadia NP,1928.0,134897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134897.0
10,Acadia NP,1929.0,149554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149554.0
11,Acadia NP,1930.0,154734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154734.0
12,Acadia NP,1931.0,162238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162238.0
13,Acadia NP,1932.0,237596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237596.0
14,Acadia NP,1933.0,262712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262712.0
15,Acadia NP,1934.0,275956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275956.0
16,Acadia NP,1935.0,316114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316114.0
17,Acadia NP,1936.0,340393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340393.0
18,Acadia NP,1937.0,383036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383036.0
19,Acadia NP,1938.0,394319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394319.0
20,Acadia NP,1939.0,396468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396468.0
21,Acadia NP,1940.0,382084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382084.0
22,Acadia NP,1941.0,409961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409961.0
23,Acadia NP,1942.0,36544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36544.0
24,Acadia NP,1943.0,8246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8246.0
25,Acadia NP,1944.0,12916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12916.0
26,Acadia NP,1945.0,20200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200.0
27,Acadia NP,1946.0,382390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382390.0
28,Acadia NP,1947.0,434069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434069.0
29,Acadia NP,1948.0,420846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420846.0
30,Acadia NP,1949.0,438584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438584.0
31,Acadia NP,1950.0,485220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485220.0
32,Acadia NP,1951.0,518556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518556.0
33,Acadia NP,1952.0,549075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549075.0
34,Acadia NP,1953.0,556195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556195.0
